"Date","Price","Open","High","Low","Vol.","Change %"
"02/26/2014","1,469.51","1,478.90","1,486.11","1,465.16","","-0.62%"
"02/25/2014","1,478.64","1,489.59","1,495.13","1,472.43","","-0.70%"
"02/24/2014","1,489.01","1,487.51","1,491.78","1,480.03","","0.09%"
"02/21/2014","1,487.64","1,481.85","1,492.45","1,481.85","","0.45%"
"02/20/2014","1,480.99","1,485.48","1,485.48","1,467.52","","-0.31%"
"02/19/2014","1,485.60","1,504.02","1,507.97","1,482.02","","-1.24%"
"02/18/2014","1,504.24","1,507.81","1,518.13","1,500.39","","-0.22%"
"02/17/2014","1,507.49","1,494.38","1,515.30","1,494.32","","0.76%"
"02/14/2014","1,496.18","1,478.77","1,497.94","1,478.77","","1.19%"
"02/13/2014","1,478.62","1,496.07","1,498.08","1,475.41","","-1.16%"
"02/12/2014","1,496.03","1,484.42","1,498.62","1,484.42","","0.84%"
"02/11/2014","1,483.57","1,475.83","1,488.95","1,473.30","","0.49%"
"02/10/2014","1,476.28","1,478.22","1,485.32","1,475.63","","-0.15%"
"02/07/2014","1,478.48","1,465.18","1,480.60","1,463.96","","0.80%"
"02/06/2014","1,466.70","1,456.00","1,469.18","1,454.43","","0.73%"
"02/05/2014","1,456.00","1,442.02","1,460.75","1,437.54","","1.03%"
"02/04/2014","1,441.16","1,442.52","1,442.62","1,426.29","","-0.12%"
"02/03/2014","1,442.84","1,453.55","1,463.54","1,442.06","","-0.80%"
"01/31/2014","1,454.45","1,463.60","1,470.60","1,448.36","","-0.60%"
"01/30/2014","1,463.20","1,463.05","1,473.45","1,444.39","","0.01%"
"01/29/2014","1,462.99","1,468.35","1,494.47","1,459.87","","-0.45%"
"01/28/2014","1,469.57","1,477.91","1,486.09","1,467.97","","-0.59%"
"01/27/2014","1,478.23","1,494.18","1,495.27","1,476.06","","-1.09%"
"01/24/2014","1,494.58","1,496.90","1,497.76","1,483.66","","-0.15%"
"01/23/2014","1,496.90","1,498.73","1,511.70","1,496.55","","-0.12%"
"01/22/2014","1,498.73","1,503.60","1,505.31","1,490.29","","-0.40%"
"01/21/2014","1,504.68","1,495.92","1,507.16","1,495.92","","0.62%"
"01/20/2014","1,495.36","1,485.75","1,498.37","1,483.25","","0.57%"
"01/17/2014","1,486.88","1,480.63","1,495.05","1,475.23","","0.42%"
"01/16/2014","1,480.73","1,486.37","1,492.58","1,478.45","","-0.39%"
"01/15/2014","1,486.51","1,469.76","1,487.83","1,469.76","","1.15%"
"01/14/2014","1,469.64","1,477.59","1,477.59","1,453.85","","-0.54%"
"01/13/2014","1,477.56","1,469.19","1,482.45","1,466.51","","0.57%"
"01/10/2014","1,469.19","1,465.74","1,470.73","1,454.75","","0.28%"
"01/09/2014","1,465.14","1,462.67","1,470.65","1,460.81","","0.17%"
"01/08/2014","1,462.67","1,465.99","1,470.25","1,460.41","","-0.24%"
"01/06/2014","1,466.15","1,504.14","1,504.33","1,464.97","","-2.52%"
"12/30/2013","1,504.08","1,496.27","1,504.85","1,492.08","","0.62%"
"12/27/2013","1,494.83","1,501.83","1,504.99","1,494.33","","-0.44%"
"12/26/2013","1,501.47","1,501.10","1,506.74","1,499.17","","0.02%"
"12/25/2013","1,501.12","1,506.41","1,510.28","1,500.49","","-0.35%"
"12/24/2013","1,506.41","1,506.89","1,510.90","1,500.66","","-0.07%"
